table,sbp_variant,order,face,projection_linf,projection_frobenius,Rgamma_minus_VgammaP_linf,Rgamma_minus_VgammaP_frobenius
table2,projected,1,1,0.0,0.0,0.0,0.0
table2,projected,1,2,0.0,0.0,0.0,0.0
table2,projected,1,3,0.0,0.0,0.0,0.0
table2,projected,2,1,0.0,0.0,0.0,0.0
table2,projected,2,2,0.0,0.0,0.0,0.0
table2,projected,2,3,0.0,0.0,0.0,0.0
table2,projected,3,1,0.0,0.0,0.0,0.0
table2,projected,3,2,0.0,0.0,0.0,0.0
table2,projected,3,3,0.0,0.0,0.0,0.0
table2,projected,4,1,0.0,0.0,0.0,0.0
table2,projected,4,2,0.0,0.0,0.0,0.0
table2,projected,4,3,0.0,0.0,0.0,0.0
