ndiv,state,num_interfaces,max_Rgamma_minus_VgammaP,max_face_point_error,max_conormal_opposite_error,max_face_jacobian_error,max_face_jacobian_relative_error,max_abs_a_minus_plus_a_plus,max_abs_m_code_minus_m_pm,max_abs_epsilon_minus,max_abs_epsilon_plus,max_literal_vs_oriented_plus_difference,mean_literal_vs_oriented_plus_difference,max_abs_m_old_literal_subtracted_minus_m_pm,max_abs_m_literal_as_minus_orientation_minus_m_pm
4,constant,192,0.0,1.6653345369377348e-16,3.6821932062951477e-16,1.1102230246251565e-16,2.5242510340199084e-16,0.0001260568535445556,0.0,6.302842677227173e-05,6.302842677228387e-05,0.42172668859071527,0.18012771788115545,0.4426253163500649,0.21086334429535764
4,polynomial,192,0.0,1.6653345369377348e-16,3.6821932062951477e-16,1.1102230246251565e-16,2.5242510340199084e-16,0.0001260568535445556,0.0,0.029888569641449703,0.032481935299621734,0.42172668859071527,0.18012771788115545,0.4426253163500649,0.21086334429535764
4,projected_gaussian,192,0.0,1.6653345369377348e-16,3.6821932062951477e-16,1.1102230246251565e-16,2.5242510340199084e-16,0.0001260568535445556,0.0,0.00015751374795783257,0.00020037711416068582,0.42172668859071527,0.18012771788115545,0.4426253163500649,0.21086334429535764
4,random_modal,192,0.0,1.6653345369377348e-16,3.6821932062951477e-16,1.1102230246251565e-16,2.5242510340199084e-16,0.0001260568535445556,0.0,0.2603541345715745,0.14766367044086615,0.42172668859071527,0.18012771788115545,0.4426253163500649,0.21086334429535764
8,constant,768,0.0,1.594436429147036e-16,3.554447978966673e-16,1.1102230246251565e-16,3.986827222394392e-16,1.402104864297541e-06,0.0,7.01052432146819e-07,7.010524321507221e-07,0.23215525609005674,0.10246706513103296,0.23409136924588725,0.11607762804502839
8,polynomial,768,0.0,1.594436429147036e-16,3.554447978966673e-16,1.1102230246251565e-16,3.986827222394392e-16,1.402104864297541e-06,0.0,0.008017950140269958,0.008926093197261398,0.23215525609005674,0.10246706513103296,0.23409136924588725,0.11607762804502839
8,projected_gaussian,768,0.0,1.594436429147036e-16,3.554447978966673e-16,1.1102230246251565e-16,3.986827222394392e-16,1.402104864297541e-06,0.0,4.872529670629788e-06,4.961940589940294e-06,0.23215525609005674,0.10246706513103296,0.23409136924588725,0.11607762804502839
8,random_modal,768,0.0,1.594436429147036e-16,3.554447978966673e-16,1.1102230246251565e-16,3.986827222394392e-16,1.402104864297541e-06,0.0,0.04739165130778522,0.06170234254081316,0.23215525609005674,0.10246706513103296,0.23409136924588725,0.11607762804502839
16,constant,3072,0.0,1.9229626863835638e-16,4.002966042486721e-16,8.326672684688674e-17,5.828734584761867e-16,1.8197095101590843e-08,0.0,9.098547595898232e-09,9.098547526509293e-09,0.11900756272522837,0.05428068716485573,0.11841762544264989,0.059503781362614194
16,polynomial,3072,0.0,1.9229626863835638e-16,4.002966042486721e-16,8.326672684688674e-17,5.828734584761867e-16,1.8197095101590843e-08,0.0,0.00210751531665343,0.002334037678575901,0.11900756272522837,0.05428068716485573,0.11841762544264989,0.059503781362614194
