order,ndivs,face_pair,face,neighbor_face,reference_face_id,neighbor_reference_face_id,count,max_projected_mismatch,mean_abs_projected_mismatch,weighted_l2_projected_mismatch,max_abs_delta_M,max_abs_delta_P
4,1,1<->2,0,1,1,2,4,0.030896237809314275,0.010867156515054262,0.031277133346063954,0.034419346695548025,0.03441934669554758
4,1,2<->1,1,0,2,1,4,0.030896237809314275,0.010867156515054203,0.031277133346063954,0.03280999338882307,0.03280999338882318
4,1,3<->3,2,2,3,3,4,0.030896237809314275,0.021734313030108258,0.04423254617015567,0.03280999338882307,0.03280999338882307
4,2,1<->1,0,0,1,1,8,0.00021639005859802607,9.518606155321102e-05,0.00029085316929167393,0.0005496774805493487,0.0005496774805493487
4,2,1<->2,0,1,1,2,8,0.0013558734264229877,0.0005250784956118077,0.0017043248100641491,0.0016990512994026104,0.0009468233352895594
4,2,1<->3,0,2,1,3,8,0.0013558734264226546,0.0005731797350258155,0.001807906246254646,0.001199243910077974,0.0016990512994025063
4,2,2<->3,1,2,2,3,8,0.00021639005859830363,4.759303077672087e-05,0.00020566424833588188,0.0005496774805493487,0.0005496774805491544
4,2,3<->2,2,1,3,2,16,0.0013558734264230154,0.00031038638290122164,0.001819566645739932,0.001199243910077863,0.0016990512994024473
4,4,1<->1,0,0,1,1,16,3.185771608821275e-06,9.48570604432375e-07,4.993287216115277e-06,9.18289664721128e-06,9.18289664721128e-06
4,4,1<->2,0,1,1,2,48,2.74134146648064e-05,4.798671475079805e-06,4.3090161654122735e-05,2.5963722813077128e-05,2.9423283582644122e-05
4,4,1<->3,0,2,1,3,48,2.7413414664723135e-05,4.249188942346412e-06,3.800571496075027e-05,3.7077855980782726e-05,2.5963722813215906e-05
4,4,2<->3,1,2,2,3,16,3.185771608904542e-06,4.742853022503561e-07,3.5307872508567622e-06,9.182896647114136e-06,9.182896647141892e-06
4,4,3<->2,2,1,3,2,64,2.7413414664723135e-05,3.305463032314659e-06,3.816937028937083e-05,3.707785598081048e-05,2.596372281324366e-05
4,8,1<->1,0,0,1,1,32,2.3564528377206795e-08,5.624168682941827e-09,4.427667653378144e-08,1.452239988194992e-07,1.452239988194992e-07
4,8,1<->2,0,1,1,2,224,3.028672666827159e-07,5.344539141721849e-08,9.861142058953498e-07,5.080303647486684e-07,4.1146442442130393e-07
4,8,1<->3,0,2,1,3,224,3.601218025485464e-07,4.755061196167519e-08,9.280641735878991e-07,4.951947048209386e-07,5.08030364707035e-07
4,8,2<->3,1,2,2,3,32,2.356452840496237e-08,2.812084367933578e-09,3.13083382252321e-08,1.4522399875011027e-07,1.4522399880562142e-07
4,8,3<->2,2,1,3,2,256,3.60121802545077e-07,4.19582960136498e-08,9.285921184490505e-07,4.951947048179028e-07,5.08030364707035e-07
