ndivs,state,element,face,neighbor_element,neighbor_face,n_face_points,max_abs_aM,max_abs_aP,max_abs_metric_mismatch,relative_metric_mismatch,weighted_l2_metric_mismatch,R_geo_face,I_direct_face,interface_formula_error
2,polynomial,0,0,1,1,5,0.4855065020827316,0.48501949796671917,0.0008994911129364194,0.0018526860280506474,0.000484756247335867,0.0002035149609314007,0.00020351496093139402,6.69494841509799e-18
2,polynomial,0,1,4,2,5,0.21998598833929656,0.21994078339205586,0.00021639005859819434,0.0009836538237355554,0.00010283212416793029,-1.4085100541792919e-06,-1.4085100541810728e-06,1.7808867716021665e-18
2,polynomial,0,2,12,1,5,0.3119165544739758,0.3119165544739759,1.1102230246251565e-16,3.5593590936443406e-16,8.308364967842742e-17,5.665289717490446e-18,5.997335013653253e-18,3.3204529616280676e-19
2,polynomial,1,0,2,2,5,0.15365053351267832,0.15319415119919175,0.00047455801717893875,0.0030885543078168426,0.0003964063465533575,9.302864624520863e-06,9.302864624520496e-06,3.6761229910836635e-19
2,polynomial,1,2,3,1,5,0.4850194979667191,0.4855065020827318,0.0008994911129363188,0.0018526860280504397,0.0004847562473358149,-6.640348843234971e-05,-6.64034884323482e-05,1.5043305143236374e-18
2,polynomial,2,0,19,0,5,0.3452234360264013,0.34534856215213017,0.00021639005859780402,0.0006265845071116342,0.00010283212416777794,-7.477210073301326e-06,-7.477210073304132e-06,2.806220154253497e-18
2,polynomial,2,1,7,2,5,0.34522343602640115,0.34534856215213006,0.00021639005859797056,0.0006265845071121165,0.00010283212416783329,-3.832328086950606e-06,-3.8323280869526835e-06,2.0777718196147987e-18
2,polynomial,3,0,18,0,5,0.21998598833929656,0.2199407833920556,0.00021639005859791505,0.0009836538237342858,0.00010283212416787148,6.29535837164649e-08,6.295358371742898e-08,9.64082312653004e-19
2,polynomial,3,2,14,1,5,0.311916554473976,0.311916554473976,2.7755575615628914e-16,8.89839773411085e-16,1.6749132105430158e-16,4.982397593627971e-18,5.968981178871431e-18,9.865835852434599e-19
2,polynomial,4,0,5,1,5,0.37225646483175057,0.3722440187329169,0.0013558734264229877,0.0036423099516506834,0.000700851014994619,7.848807821527586e-05,7.848807821528894e-05,1.3078188705606397e-17
2,polynomial,4,1,8,2,5,0.48824677928486615,0.488246779284866,2.7755575615628914e-16,5.684743206352008e-16,2.1777761582335986e-16,7.626498852033335e-18,1.0632701432978108e-17,3.006202580944774e-18
2,polynomial,5,0,6,2,5,0.37224401873291707,0.37225646483175073,0.0013558734264226546,0.003642309951649787,0.00070085101499458,1.2330636876912365e-05,1.233063687690442e-05,7.945169045245337e-18
2,polynomial,5,2,7,1,5,0.726321320337557,0.7257523307759597,0.0009850242708375756,0.0013561825093882508,0.0008665701018872636,-1.375134146485097e-05,-1.3751341464851809e-05,8.385626177817573e-19
2,polynomial,6,0,23,0,5,0.2199407833920556,0.21998598833929656,0.00021639005859791505,0.0009836538237342858,0.00010283212416787148,-1.1576182621445598e-06,-1.157618262140763e-06,3.796825186067401e-18
2,polynomial,6,1,11,2,5,0.4882467792848662,0.48824677928486615,3.3306690738754696e-16,6.821691847622409e-16,1.766029531852885e-16,1.0136762300844811e-17,7.538645513037332e-20,1.0061375845714438e-17
2,polynomial,7,0,22,0,5,0.34534856215213017,0.3452234360264013,0.00021639005859780402,0.0006265845071116342,0.00010283212416777794,-5.167859410232152e-06,-5.167859410229118e-06,3.034072017064904e-18
2,polynomial,8,0,9,1,5,0.37225646483175034,0.3722440187329169,0.0013558734264227656,0.003642309951650089,0.0007008510149945032,-2.1234755831533727e-05,-2.123475583153566e-05,1.9312351197398048e-18
2,polynomial,8,1,12,2,5,0.21994078339205586,0.21998598833929667,0.00021639005859820475,0.0009836538237356022,0.00010283212416796483,1.790853221946553e-06,1.7908532219467521e-06,1.9905274260476058e-19
2,polynomial,9,0,10,2,5,0.7263213203375577,0.7257523307759591,0.0009850242708377976,0.0013561825093885553,0.0008665701018875739,1.3874297607530379e-05,1.3874297607536931e-05,6.5526468799592674e-18
2,polynomial,9,2,11,1,5,0.3722440187329169,0.3722564648317507,0.0013558734264230154,0.0036423099516507567,0.0007008510149946599,1.7658820497504706e-05,1.7658820497504692e-05,1.3552527156068805e-20
2,polynomial,10,0,27,0,5,0.3453485621521302,0.34522343602640115,0.00021639005859785954,0.0006265845071117947,0.00010283212416791149,-8.415993978226748e-07,-8.415993978207939e-07,1.880836659378174e-18
2,polynomial,10,1,15,2,5,0.3453485621521301,0.34522343602640104,0.00021639005859830363,0.0006265845071130809,0.00010283212416803537,-3.7352290529768083e-06,-3.735229052979303e-06,2.4945120296639145e-18
2,polynomial,11,0,26,0,5,0.21994078339205575,0.21998598833929667,0.00021639005859802607,0.00098365382373479,0.00010283212416792211,2.8748938178789928e-05,2.874893817878732e-05,2.608861477543245e-18
2,polynomial,12,0,13,1,5,0.4855065020827315,0.48501949796671906,0.0008994911129363674,0.0018526860280505407,0.0004847562473358477,-1.8313108178104626e-05,-1.8313108178101956e-05,2.6698478497455547e-18
2,polynomial,13,0,14,2,5,0.4850194979667191,0.48550650208273144,0.0008994911129362217,0.0018526860280502408,0.0004847562473358426,8.738951915268971e-07,8.738951915245186e-07,2.3784685158900754e-18
2,polynomial,13,2,15,1,5,0.15365053351267816,0.15319415119919177,0.00047455801717907753,0.003088554307817749,0.0003964063465533853,-1.4617821107596774e-05,-1.4617821107596667e-05,1.0672615135404184e-19
2,polynomial,14,0,31,0,5,0.21998598833929667,0.21994078339205575,0.00021639005859802607,0.00098365382373479,0.0001028321241679221,9.012228495588316e-06,9.012228495590068e-06,1.751664134921893e-18
2,polynomial,15,0,30,0,5,0.34522343602640115,0.3453485621521302,0.00021639005859785954,0.0006265845071117947,0.00010283212416791149,2.8011560260943524e-05,2.8011560260944693e-05,1.1689054672109345e-18
2,polynomial,16,0,17,1,5,0.37225646483175057,0.3722440187329169,0.0013558734264229877,0.0036423099516506834,0.000700851014994619,-1.8252036192870296e-05,-1.8252036192865458e-05,4.8382521947165635e-18
2,polynomial,16,1,28,2,5,0.48824677928486615,0.488246779284866,2.7755575615628914e-16,5.684743206352008e-16,2.1777761582335986e-16,5.266760637891658e-18,2.5753929404188427e-17,2.048716876629677e-17
2,polynomial,16,2,20,1,5,0.21994078339205586,0.21998598833929656,0.00021639005859819434,0.0009836538237355554,0.00010283212416793029,-2.6599212843121726e-06,-2.6599212843088293e-06,3.3432390428127234e-18
2,polynomial,17,0,18,2,5,0.37224401873291707,0.37225646483175073,0.0013558734264226546,0.003642309951649787,0.00070085101499458,-2.176439601496974e-05,-2.1764396014980066e-05,1.032702569292443e-17
2,polynomial,17,2,19,1,5,0.726321320337557,0.7257523307759597,0.0009850242708375756,0.0013561825093882508,0.0008665701018872636,-2.070566481887301e-05,-2.0705664818880993e-05,7.982438494924526e-18
2,polynomial,18,1,31,2,5,0.4882467792848662,0.48824677928486615,3.3306690738754696e-16,6.821691847622409e-16,1.766029531852885e-16,-7.16827661611385e-18,-9.778337642366152e-18,2.610061026252302e-18
2,polynomial,19,2,22,1,5,0.34534856215213006,0.34522343602640115,0.00021639005859797056,0.0006265845071121165,0.00010283212416783328,-3.954689010650148e-06,-3.9546890106513685e-06,1.2205744769934468e-18
2,polynomial,20,0,21,1,5,0.4855065020827316,0.48501949796671917,0.0008994911129364194,0.0018526860280506474,0.000484756247335867,-7.481008512012894e-07,-7.481008512137313e-07,1.2441855203981604e-17
2,polynomial,20,2,24,1,5,0.3119165544739758,0.3119165544739759,1.1102230246251565e-16,3.5593590936443406e-16,8.308364967842742e-17,1.2279715599437178e-17,1.1510698708341823e-17,7.690168910953551e-19
2,polynomial,21,0,22,2,5,0.15365053351267832,0.15319415119919175,0.00047455801717893875,0.0030885543078168426,0.0003964063465533575,1.533596429325139e-05,1.533596429324996e-05,1.429791614965259e-18
2,polynomial,21,2,23,1,5,0.4850194979667191,0.4855065020827318,0.0008994911129363188,0.0018526860280504397,0.0004847562473358149,3.4056823484527944e-05,3.405682348452722e-05,7.250602028496811e-19
2,polynomial,23,2,26,1,5,0.311916554473976,0.311916554473976,2.7755575615628914e-16,8.89839773411085e-16,1.6749132105430158e-16,-7.805707405108193e-18,-1.2618895132158494e-17,4.813187727050301e-18
2,polynomial,24,0,25,1,5,0.4855065020827315,0.48501949796671906,0.0008994911129363674,0.0018526860280505407,0.0004847562473358477,2.686171454340244e-05,2.6861714543403205e-05,7.657177843178875e-19
2,polynomial,24,2,28,1,5,0.21998598833929667,0.21994078339205586,0.00021639005859820475,0.0009836538237356022,0.00010283212416796483,-6.796714464167408e-06,-6.7967144641664534e-06,9.546061315555965e-19
2,polynomial,25,0,26,2,5,0.4850194979667191,0.48550650208273144,0.0008994911129362217,0.0018526860280502408,0.0004847562473358426,8.12827948112553e-06,8.128279481124828e-06,7.013432803265607e-19
2,polynomial,25,2,27,1,5,0.15365053351267816,0.15319415119919177,0.00047455801717907753,0.003088554307817749,0.0003964063465533853,-2.5055974528131345e-06,-2.5055974528145e-06,1.3654171109739321e-18
2,polynomial,27,2,30,1,5,0.34522343602640104,0.3453485621521301,0.00021639005859830363,0.0006265845071130809,0.00010283212416803537,2.0141604404028425e-05,2.0141604404018122e-05,1.030330877040131e-17
2,polynomial,28,0,29,1,5,0.37225646483175034,0.3722440187329169,0.0013558734264227656,0.003642309951650089,0.0007008510149945032,2.815506536198019e-06,2.8155065361960843e-06,1.934623251528822e-18
2,polynomial,29,0,30,2,5,0.7263213203375577,0.7257523307759591,0.0009850242708377976,0.0013561825093885553,0.0008665701018875739,8.219881857274314e-07,8.219881857228092e-07,4.622258793166717e-18
2,polynomial,29,2,31,1,5,0.3722440187329169,0.3722564648317507,0.0013558734264230154,0.0036423099516507567,0.0007008510149946599,4.658932650143492e-05,4.658932650143941e-05,4.4858864886587746e-18
