ndivs,state,element,face,neighbor_element,neighbor_face,n_face_points,max_abs_aM,max_abs_aP,max_abs_metric_mismatch,relative_metric_mismatch,weighted_l2_metric_mismatch,R_geo_face,I_direct_face,interface_formula_error
4,constant,0,0,1,1,5,0.18045404592656755,0.18045193011853236,4.369135048684636e-06,2.4211898526578756e-05,1.9068684571228909e-06,-1.7000492461206917e-08,-1.7000492457958876e-08,3.2480404804752206e-18
4,constant,0,1,16,2,5,0.04263413768017606,0.042634247522370286,3.523578166395036e-07,8.26466601655443e-06,1.771104509445221e-07,-9.382716562231386e-09,-9.382716561385592e-09,8.457938306966959e-19
4,constant,0,2,48,1,5,0.13903119606942085,0.13903119606942096,1.1102230246251565e-16,7.985423818628452e-16,6.624588535510329e-17,-1.815496675409383e-17,-1.87251386186787e-17,5.701718645848689e-19
4,constant,1,0,2,2,5,0.16095830750143525,0.16095885065818033,1.1071006163682062e-05,6.878159304947427e-05,4.398276369433921e-06,3.709513336828394e-08,3.7095133368550066e-08,2.661271641154605e-19
4,constant,1,2,7,1,5,0.0661073697143607,0.06609985246780005,7.517246560645452e-06,0.00011371268578868384,3.623244985159336e-06,-1.504247798583014e-08,-1.504247798517708e-08,6.530624023330656e-19
4,constant,2,0,3,1,5,0.27155172371942526,0.2715543496552849,2.74134146648064e-05,0.0001009500112946281,1.1991975994312937e-05,-1.4353299278935232e-07,-1.435329927884793e-07,8.730262708231667e-19
4,constant,2,1,23,2,5,0.13881387044224905,0.13881155875132017,3.1857716087241306e-06,2.294995160479667e-05,1.7564869885213848e-06,6.087263821087187e-08,6.087263821261644e-08,1.7445702339886383e-18
4,constant,3,0,4,2,5,0.0880286264209536,0.08802069127363527,1.053576685712456e-05,0.00011968568959309258,6.544418514530953e-06,1.531759710019786e-07,1.5317597100223992e-07,2.6130966422795165e-19
4,constant,3,2,9,1,5,0.24011986512908176,0.2401226805630244,6.200855318883036e-06,2.5823696888372496e-05,3.727044457442658e-06,-4.862433435926134e-08,-4.8624334356791314e-08,2.470027483532345e-18
4,constant,4,0,5,1,5,0.23663784602591967,0.23663972979128703,5.80048979309522e-06,2.4511901692125713e-05,2.56177408997779e-06,-3.9449906511358716e-08,-3.944990650452324e-08,6.835476475003399e-18
