ndivs,state,element,face,neighbor_element,neighbor_face,n_face_points,max_abs_aM,max_abs_aP,max_abs_metric_mismatch,relative_metric_mismatch,weighted_l2_metric_mismatch,R_geo_face,I_direct_face,interface_formula_error
4,gaussian,0,0,1,1,5,0.18045404592656755,0.18045193011853236,4.369135048684636e-06,2.4211898526578756e-05,1.9068684571228909e-06,4.5140828667360927e-13,4.514082866742168e-13,6.075112494415638e-25
4,gaussian,0,1,16,2,5,0.04263413768017606,0.042634247522370286,3.523578166395036e-07,8.26466601655443e-06,1.771104509445221e-07,-1.643536334521377e-17,-1.6435363345229838e-17,1.6066877968056076e-29
4,gaussian,0,2,48,1,5,0.13903119606942085,0.13903119606942096,1.1102230246251565e-16,7.985423818628452e-16,6.624588535510329e-17,5.646991034597495e-24,4.624833735531931e-24,1.0221572990655642e-24
4,gaussian,1,0,2,2,5,0.16095830750143525,0.16095885065818033,1.1071006163682062e-05,6.878159304947427e-05,4.398276369433921e-06,7.728530183209628e-12,7.728530183222467e-12,1.2839070953044748e-23
4,gaussian,1,2,7,1,5,0.0661073697143607,0.06609985246780005,7.517246560645452e-06,0.00011371268578868384,3.623244985159336e-06,-3.2322501185582815e-12,-3.23225011856723e-12,8.94873713463129e-24
4,gaussian,2,0,3,1,5,0.27155172371942526,0.2715543496552849,2.74134146648064e-05,0.0001009500112946281,1.1991975994312937e-05,1.8370148166323692e-11,1.8370148166345054e-11,2.1361293084328383e-23
4,gaussian,2,1,23,2,5,0.13881387044224905,0.13881155875132017,3.1857716087241306e-06,2.294995160479667e-05,1.7564869885213848e-06,1.1616241962615256e-16,1.1616241962598207e-16,1.7049256314089118e-28
4,gaussian,3,0,4,2,5,0.0880286264209536,0.08802069127363527,1.053576685712456e-05,0.00011968568959309258,6.544418514530953e-06,-7.476507157470098e-12,-7.476507157470017e-12,8.077935669463161e-26
4,gaussian,3,2,9,1,5,0.24011986512908176,0.2401226805630244,6.200855318883036e-06,2.5823696888372496e-05,3.727044457442658e-06,-2.768487655664844e-12,-2.7684876554389196e-12,2.2592451259711263e-22
4,gaussian,4,0,5,1,5,0.23663784602591967,0.23663972979128703,5.80048979309522e-06,2.4511901692125713e-05,2.56177408997779e-06,-4.1063620591139845e-12,-4.106362059089979e-12,2.4005201428943675e-23
4,gaussian,4,1,28,2,5,0.188917751313536,0.18891456554192734,3.1857716086547416e-06,1.6863272966697017e-05,1.7564869884282415e-06,-1.161624195098997e-16,-1.1616241952829767e-16,1.8397961942984166e-26
4,gaussian,5,0,6,2,5,0.01290696248224793,0.01290638447412177,7.208578001183241e-07,5.585030568654574e-05,5.725979214382907e-07,1.9359479119589983e-14,1.9359479119327816e-14,2.621668777975302e-25
4,gaussian,5,2,11,1,5,0.23663972979128695,0.23663784602591947,5.800489793206243e-06,2.4511901692594884e-05,2.5617740900648933e-06,2.4461380959659727e-12,2.446138095924987e-12,4.0985829999722186e-23
4,gaussian,6,0,79,0,5,0.14271464908308656,0.14271482846942457,3.523578166741981e-07,2.468964300718672e-06,1.771104509333291e-07,-2.3467471072851533e-14,-2.346747107045757e-14,2.3939624999614463e-24
4,gaussian,6,1,31,2,5,0.14271464908308656,0.14271482846942454,3.523578165354202e-07,2.4689642997462587e-06,1.7711045090008132e-07,1.6435363385271866e-17,1.6435363382031728e-17,3.24013831611842e-27
4,gaussian,7,0,8,1,5,0.1524629813375824,0.15244080373671975,2.2177600862649527e-05,0.00014546220117225733,9.444623072496897e-06,1.6025345809348981e-09,1.6025345809316396e-09,3.2584712279995143e-21
4,gaussian,7,2,50,1,5,0.12149610979089566,0.1214961097908957,5.0306980803327406e-17,4.1406248224663036e-16,3.541974864550723e-17,1.0349155556729206e-20,1.1029422963886472e-20,6.80267407157266e-22
4,gaussian,8,0,9,2,5,0.08409047463316321,0.08407406980168297,1.6404831480257287e-05,0.00019508549038189902,8.666924173932377e-06,2.7623229457541515e-08,2.762322945751151e-08,3.000349517852342e-20
4,gaussian,8,2,12,1,5,0.1524408037367198,0.15246298133758246,2.2177600862649527e-05,0.00014546220117225728,9.444623072494274e-06,1.3346986054121034e-08,1.3346986054117771e-08,3.262400335909141e-21
4,gaussian,9,0,10,1,5,0.24012268056302424,0.2401198651290818,6.200855318883036e-06,2.5823696888372513e-05,3.7270444573856887e-06,-1.1472007895970108e-08,-1.1472007895982309e-08,1.2200914035157158e-20
4,gaussian,10,0,11,2,5,0.0880286264209536,0.08802069127363532,1.053576685701961e-05,0.00011968568959190034,6.544418514545643e-06,1.3923750527336593e-10,1.392375052726984e-10,6.675347543302933e-22
4,gaussian,10,2,14,1,5,0.27155434965528497,0.2715517237194253,2.7413414664723135e-05,0.00010095001129432145,1.1991975994249469e-05,-1.2666174845717354e-08,-1.2666174845749411e-08,3.2056557458880035e-20
4,gaussian,11,0,78,0,5,0.18891775131353594,0.18891456554192726,3.185771608682497e-06,1.6863272966843943e-05,1.7564869885202464e-06,4.87339729421109e-10,4.873397294173422e-10,3.76677371441335e-21
